	title	page_length	last_touched	lastrevid
129	Adenosylhomocysteinase	1995	2022-03-14T02:48:52Z	1053942610
130	Aryl hydrocarbon receptor	49125	2022-03-11T22:51:27Z	1074519806
131	Alpha-2-HS-glycoprotein	13998	2022-03-11T23:04:53Z	1039522647
132	Allograft inflammatory factor 1	23839	2022-03-11T23:04:57Z	1075864260
133	AIM1	3977	2022-03-11T23:05:33Z	1075864118
134	Adenylate kinase 1	4393	2022-03-11T23:57:17Z	1075476892
135	AK2	5015	2022-03-11T23:05:17Z	1020326524
136	AK3L1	4980	2022-03-11T23:05:33Z	1039384096
137	AKT1	24567	2022-03-11T23:02:20Z	1075723025
138	AKT2	12735	2022-03-11T23:04:08Z	1039385741
139	Delta-aminolevulinic acid dehydratase	17855	2022-03-13T19:42:58Z	1040834271
140	ALAS1	8561	2022-03-11T23:11:54Z	1075868513
141	ALAS2	9312	2022-03-11T23:11:54Z	1021588083
142	Human serum albumin	32794	2022-03-17T14:05:19Z	1077657370
143	Serum albumin	7008	2022-03-13T19:24:26Z	1029839640
144	ALCAM	8995	2022-03-19T20:55:01Z	1075868532
145	ABCD1	14630	2022-03-14T05:00:42Z	1077020778
146	ALDH1A1	12627	2022-03-11T23:16:11Z	1039386168
147	ALDH2	20123	2022-03-11T22:58:32Z	1072906134
148	Aldehyde dehydrogenase 3 family, member A1	21039	2022-03-11T23:04:57Z	1075837013
149	ALDH1B1	8639	2022-03-11T23:05:20Z	1032022117
150	ALDH1A3	5480	2022-03-11T23:16:11Z	1039386254
151	ALDH3B1	8416	2022-03-11T23:16:11Z	1053696435
152	ALDH3B2	3662	2022-03-11T23:07:37Z	1058804703
153	Aldehyde dehydrogenase 9 family, member A1	4194	2022-03-11T23:05:32Z	1004418206
154	Long-chain-aldehyde dehydrogenase	4587	2022-03-20T21:50:17Z	992569881
155	ABCD2	7498	2022-03-14T05:09:24Z	1077022003
156	Aldolase A	18402	2022-03-13T19:24:36Z	1054218036
157	Aldolase B	17158	2022-03-11T22:58:37Z	1039505712
158	Aldolase C	13963	2022-03-11T23:05:06Z	1075837562
159	AKR1B1	15121	2022-03-11T23:04:53Z	1064137597
160	Anaplastic lymphoma kinase	48581	2022-03-19T20:55:01Z	1077073735
161	ALOX12	32358	2022-03-13T19:42:56Z	1075837592
162	5-lipoxygenase-activating protein	12369	2022-03-11T22:50:08Z	1058670826
163	ALOX12B	13473	2022-03-11T23:05:17Z	1064008982
164	ALOX15	44770	2022-03-11T23:04:09Z	1063970035
165	ALOX15B	8152	2022-03-11T23:05:01Z	1053696475
166	ALPI	7568	2022-03-14T15:35:01Z	1077108043
167	ALPL	12496	2022-03-11T23:04:22Z	1049190899
168	Placental alkaline phosphatase	11623	2022-03-11T23:06:08Z	1044273110
169	ALPPL2	4340	2022-03-11T23:36:30Z	1039388118
170	ALX3	5138	2022-03-11T23:42:52Z	890386824
171	Ameloblastin	5173	2022-03-11T22:44:01Z	1075477369
172	Alpha-1-microglobulin/bikunin precursor	9051	2022-03-11T23:04:53Z	1039522289
173	AMELX	9619	2022-03-11T22:58:32Z	994394376
174	AMELY	4261	2022-03-11T22:57:44Z	1046530742
175	AMFR	14369	2022-03-11T23:04:57Z	1039784642
176	AMHR2 (gene)	46	2021-12-31T19:35:00Z	957672357
177	Anti-Mullerian hormone receptor type 2	64	2022-01-16T13:26:51Z	957328718
178	AMP deaminase	8600	2022-03-11T22:53:24Z	1051392175
179	AMP deaminase 2	3667	2022-03-11T23:05:34Z	1032308148
180	AMPD3	12871	2022-03-11T23:05:05Z	1076194134
181	Amphiphysin	17190	2022-03-11T22:54:55Z	1039546606
182	BIN1	11613	2022-03-11T23:04:09Z	1039894390
183	Aminomethyltransferase	11628	2022-03-13T19:39:51Z	1075724718
184	AMY1A	7472	2022-03-11T23:04:56Z	1039389525
185	AMY1C	1229	2022-03-11T23:33:57Z	1003876050
186	AMY2A	7175	2022-03-11T23:04:57Z	1021842208
187	AMY2B	5895	2022-03-15T22:46:12Z	1003880007
188	Angiogenin	16473	2022-03-11T22:48:33Z	1046536667
189	Angiopoietin 1	13135	2022-03-11T22:59:01Z	1039561704
190	ANGPT2	9539	2022-03-11T22:59:01Z	1039389907
191	ANK1	70	2022-03-06T16:20:14Z	1075587217
192	ANK2	70	2022-03-07T10:02:03Z	1075588430
193	ANK3	70	2022-03-06T16:13:14Z	1075586949
194	Alanine aminopeptidase	10438	2022-03-19T20:55:01Z	1039804596
195	ADP/ATP translocase 1	9148	2022-03-15T12:38:42Z	1075477145
196	ADP/ATP translocase 2	15716	2022-03-11T23:36:24Z	1039381718
197	ADP/ATP translocase 3	7904	2022-03-15T12:38:42Z	1045782575
198	Annexin A1	17069	2022-03-11T22:58:18Z	1039816919
199	Annexin A2	14055	2022-03-11T22:58:18Z	1053696665
200	Annexin A3	6803	2022-03-11T23:05:00Z	1075478055
201	Annexin A4	8437	2022-03-11T23:04:57Z	1053696691
202	Annexin A5	13276	2022-03-11T22:58:18Z	1075478071
203	Annexin A6	15158	2022-03-11T23:04:12Z	1039577212
204	Annexin A7	9318	2022-03-11T23:04:58Z	1075475602
205	Annexin A11	8756	2022-03-11T23:04:58Z	1075475624
206	Annexin A13	4702	2022-03-11T23:05:34Z	1039576609
207	AOAH	8323	2022-03-16T13:00:51Z	1077460181
208	AOC2	1378	2022-03-11T23:45:56Z	1014485518
209	Aldehyde oxidase 1	5413	2022-03-20T21:50:16Z	1039505342
210	APAF1	12976	2022-03-11T23:04:53Z	1039393783
211	NUDT2	6634	2022-03-11T23:05:01Z	1043645412
212	APOF	4328	2022-03-13T19:46:09Z	1059874450
213	APBA1	11332	2022-03-11T23:04:56Z	1040197813
214	APBA2	9994	2022-03-11T23:04:57Z	997236555
215	APBB1	11862	2022-03-11T23:04:56Z	1039394060
216	APBB2	5028	2022-03-11T23:05:32Z	1075478289
217	Adenomatous polyposis coli	26815	2022-03-11T22:48:40Z	1039458437
218	Apc, wnt signaling pathway regulator	4261	2022-03-11T23:55:51Z	997376281
219	Serum amyloid P component	5951	2022-03-11T22:50:48Z	1045097502
220	Autoimmune regulator	27014	2022-03-15T14:40:23Z	1077284570
221	APEH (gene)	9003	2022-03-11T23:05:01Z	1075724675
222	APEX1	10820	2022-03-15T04:03:21Z	1077219383
223	Baculoviral IAP repeat-containing protein 2	15745	2022-03-11T23:04:09Z	1039910600
224	Cellular Inhibitor of Apoptosis Protein 1	11798	2022-03-11T23:48:57Z	1058307336
225	Baculoviral IAP repeat-containing protein 3	11091	2022-03-11T23:04:09Z	1040193874
226	XIAP	22732	2022-03-11T22:59:43Z	1045934597
227	Survivin	63459	2022-03-11T22:56:33Z	1060509045
228	APLP1	8887	2022-03-11T23:04:57Z	1040180410
229	APLP2	12054	2022-03-11T23:04:12Z	1039394710
230	Apolipoprotein A1	78	2022-03-11T14:09:37Z	1075930669
231	Apolipoprotein A-II	9552	2022-03-13T19:42:56Z	1059160512
232	Apolipoprotein A2	742	2022-03-13T19:37:38Z	1059175158
233	Apolipoprotein B	37635	2022-03-11T22:50:20Z	1062699250
234	APOBEC1	22772	2022-03-11T23:04:57Z	1040187029
235	Apolipoprotein C-I	12526	2022-03-13T19:32:07Z	1003300305
236	AQP8	5773	2022-03-11T23:05:19Z	1039397043
237	Apolipoprotein C-II	8752	2022-03-15T20:16:23Z	1075929764
238	Apolipoprotein C-III	17143	2022-03-13T19:37:38Z	1040182055
239	Apolipoprotein C-IV	7635	2022-03-11T22:58:22Z	1039617229
240	Apolipoprotein D	44991	2022-03-11T22:58:22Z	1075928406
241	Apolipoprotein E	49515	2022-03-11T22:50:20Z	1074418550
242	Apolipoprotein H	11735	2022-03-13T19:37:38Z	1039618140
243	Amyloid-beta precursor protein	49332	2022-03-14T11:39:44Z	1077072159
244	Adenine phosphoribosyltransferase	21165	2022-03-11T22:48:03Z	1039457377
245	Prostate-specific antigen	51084	2022-03-20T15:55:44Z	1078239792
246	Fas receptor	23082	2022-03-19T20:55:01Z	1075475124
247	Fas ligand	16966	2022-03-19T20:55:01Z	1051890724
248	Shroom family member 2	1311	2022-03-11T23:53:12Z	1023502814
249	Aquaporin 1	10316	2022-03-11T22:53:09Z	1058312626
250	Aquaporin 2	12378	2022-03-11T22:52:32Z	1073946268
251	Aquaporin 3	10562	2022-03-14T05:13:18Z	1077022579
252	Aquaporin 4	24938	2022-03-11T22:52:32Z	1064788859
253	AQP5	5849	2022-03-11T23:05:05Z	1039396934
254	AQP6	3158	2022-03-11T23:30:16Z	997139735
255	AQP7	7438	2022-03-11T23:05:19Z	1039396983
256	AQP9	5615	2022-03-11T23:05:06Z	1039397116
257	Androgen receptor	82519	2022-03-22T09:47:20Z	1071647176
258	ABCC6	7178	2022-03-14T05:07:51Z	1077021796
259	ARAF	15898	2022-03-11T23:04:12Z	1040179242
260	Archain 1	1339	2022-03-11T23:47:46Z	995768850
261	TRIM23	5963	2022-03-11T23:05:19Z	1045674128
262	Amphiregulin	18924	2022-03-11T22:44:40Z	1075477426
263	ARF1	11005	2022-03-11T23:04:08Z	1039397427
264	ARF3	10591	2022-03-11T23:04:57Z	1040176830
265	ARF4	7889	2022-03-11T23:05:01Z	1075724863
266	ARL4D	11753	2022-03-11T23:05:19Z	1032191947
267	ARF5	8005	2022-03-11T23:05:00Z	1040186223
268	ARF6	12161	2022-03-11T22:42:09Z	1040193251
269	ARG1 (gene)	4853	2022-03-11T23:37:23Z	1075864393
270	ARG2	5043	2022-03-11T23:37:12Z	1062529154
271	Transforming protein RhoA	45897	2022-03-18T13:46:23Z	1045838371
272	RHOB	10671	2022-03-11T23:03:17Z	1044559557
273	RhoC	15976	2022-03-11T23:04:56Z	1036753923
274	Rnd3	9088	2022-03-11T23:05:05Z	1044726817
275	RhoG	23241	2022-03-11T23:04:59Z	1032016713
276	ARHGAP1	10456	2022-03-11T23:04:24Z	994147298
277	ARHGAP4	5969	2022-03-11T23:05:05Z	1039398736
278	ARHGAP5	6626	2022-03-11T23:05:01Z	994196389
279	ARHGDIA	11136	2022-03-11T23:04:57Z	1032298424
280	ARHGDIB	20310	2022-03-11T23:04:58Z	1039398989
281	ARHGDIG	4921	2022-03-11T23:05:06Z	1039399026
282	RhoH	7992	2022-03-11T23:05:06Z	997787514
283	ARL1	7192	2022-03-11T23:05:01Z	983224791
284	PHOX2A	8521	2022-03-11T23:04:59Z	1067834128
285	ARL2	8241	2022-03-11T23:05:05Z	1039400094
286	ARL3	6748	2022-03-11T23:05:01Z	1032264695
287	ARNT	226	2022-03-08T02:02:33Z	1073716886
288	ARNTL	43699	2022-03-11T23:11:12Z	1039787353
289	ARR3	6586	2022-03-11T23:04:59Z	1040188042
290	Arrestin beta 1	12909	2022-03-11T23:04:50Z	1039649788
291	Arrestin beta 2	16831	2022-03-11T23:04:28Z	1050871769
292	Arylsulfatase A	8550	2022-03-11T22:53:24Z	1039676995
293	Arylsulfatase B	19857	2022-03-13T19:33:44Z	1039677105
294	Steroid sulfatase	17234	2022-03-13T19:32:45Z	1073312566
295	Arylsulfatase E	5213	2022-03-11T23:14:06Z	1039677175
296	ART3	4031	2022-03-11T23:05:21Z	1075478371
297	ART4	11153	2022-03-19T20:55:02Z	1077244104
298	ARVCF	6485	2022-03-11T23:05:06Z	1014943313
299	ASAH1	10422	2022-03-11T23:04:58Z	997730312
300	ASCL1	13144	2022-03-11T23:04:58Z	1039402075
301	ASCL2	9249	2022-03-11T23:05:21Z	1047407544
302	Asialoglycoprotein receptor 1	4595	2022-03-11T23:57:11Z	1039679555
303	Agouti-signaling protein	27941	2022-03-11T22:52:21Z	1039488389
304	Argininosuccinate lyase	14003	2022-03-13T19:28:51Z	1039645735
305	Acetylserotonin O-methyltransferase	19700	2022-03-13T19:38:56Z	1068457544
306	ATPase ASNA1	3274	2022-03-11T23:05:32Z	1032324320
307	Asparagine synthetase	18468	2022-03-13T19:39:29Z	1076180983
308	Aspartoacylase	14650	2022-03-13T19:33:12Z	1039682234
309	ASPH	13102	2022-03-20T21:51:42Z	1039403356
310	Argininosuccinate synthetase 1	8921	2022-03-11T23:04:56Z	1034249787
311	Antithrombin	45270	2022-03-19T09:58:23Z	1070606727
312	ATBF1	6648	2022-03-11T23:05:00Z	1039403899
313	ATF1	11278	2022-03-11T23:04:11Z	1024777067
314	ATF3	14282	2022-03-11T23:04:11Z	1039404107
315	ATF4	13275	2022-03-11T23:04:12Z	1039404269
316	Inosine monophosphate synthase	7665	2022-03-11T23:00:18Z	1042129592
317	ATM serine/threonine kinase	45251	2022-03-11T22:45:01Z	1065329286
318	RERE	7695	2022-03-11T23:05:01Z	1044554280
319	ATOH1	8460	2022-03-14T02:50:50Z	1075478414
320	ATOX1	14042	2022-03-11T23:04:58Z	1039405394
321	ATP1A2	10969	2022-03-11T23:04:54Z	1039406746
322	ATP1A3	12016	2022-03-11T23:04:58Z	1047825009
323	ATP12A	6634	2022-03-11T23:05:05Z	1039406369
324	ATP1A4	7096	2022-03-11T23:05:00Z	1039406940
325	ATP1B1	7874	2022-03-11T23:04:57Z	1039407035
326	ATP1B3	6053	2022-03-19T20:55:02Z	1075868686
327	FXYD2	9123	2022-03-11T23:05:01Z	1041185503
328	ATP2A1	10842	2022-03-14T06:40:12Z	1077033922
329	ATP2A2	1698	2022-03-13T19:40:12Z	1074081797
330	ATP2A3	9211	2022-03-11T23:04:59Z	1040189146
331	ATP2B1	9604	2022-03-11T23:04:57Z	1040178268
332	ATP2B2	7723	2022-03-11T23:04:57Z	1075868713
333	ATP2B3	6201	2022-03-11T23:05:06Z	1040196936
334	ATP2B4	9427	2022-03-14T04:52:08Z	1077019553
335	ATP5F1A	20566	2022-03-11T23:04:57Z	1039408553
336	ALDH7A1	14133	2022-03-11T23:16:11Z	997704735
337	ATP5B	8080	2022-03-11T23:04:57Z	1041367281
338	ATP5C1	7716	2022-03-11T23:05:06Z	1040190107
339	ATP5D	11132	2022-03-18T00:33:01Z	1063657084
340	ATP5E	14726	2022-03-13T19:44:09Z	1039408292
341	ATP5F1	8458	2022-03-14T04:52:55Z	1077019701
342	ATP5G1	6076	2022-03-11T23:05:01Z	1014872125
343	ATP5G2	5279	2022-03-11T23:05:20Z	1039408615
344	ATP5G3	4419	2022-03-11T23:05:32Z	1039408709
345	ATP5I	5738	2022-03-13T19:43:59Z	1075478433
346	ATP5PF	8144	2022-03-13T19:43:39Z	1075841916
347	ATP6V1A	5272	2022-03-11T23:05:00Z	1075868755
348	ATP6V1B1	6596	2022-03-15T22:26:48Z	1039409655
349	ATP6V1B2	5816	2022-03-11T23:04:59Z	1040176741
350	ATP6V0C	6319	2022-03-11T23:04:58Z	1039409451
351	ATP6V1C1	6301	2022-03-11T23:04:59Z	1040176710
352	ATP6V1E1	5465	2022-03-11T23:04:57Z	1040196753
353	ATP6V0B	5055	2022-03-11T23:05:05Z	1039409347
354	ATP6V1G2	5408	2022-03-11T23:05:01Z	1039410165
355	ATP6AP1	5413	2022-03-11T23:04:59Z	1039409202
356	ATP7A	23321	2022-03-11T22:48:41Z	1058908277
357	ATP5O	67	2022-03-08T00:11:30Z	1071529096
358	Wilson disease protein	11154	2022-03-11T23:41:52Z	1021780289
359	Ataxia telangiectasia and Rad3 related	27462	2022-03-11T22:58:10Z	1048663118
360	ATRX	16295	2022-03-21T10:19:47Z	1067833163
361	KIF1A	44637	2022-03-14T15:35:40Z	1077108149
362	Methylglutaconyl-CoA hydratase	7526	2022-03-11T23:00:23Z	1032233975
363	AUP1	3948	2022-03-11T23:07:38Z	994823747
364	Vasopressin	43201	2022-03-13T19:20:33Z	1073946439
365	Vasopressin receptor 1A	28858	2022-03-11T22:50:13Z	1053701266
366	Vasopressin receptor 1B	14884	2022-03-11T22:50:13Z	1045967741
367	Vasopressin receptor 2	14746	2022-03-11T22:50:13Z	1064790031
368	AXL receptor tyrosine kinase	18395	2022-03-11T23:04:56Z	1064154461
369	AZGP1	8124	2022-03-11T23:04:56Z	1040188833
370	Azurocidin 1	9543	2022-03-11T23:04:56Z	1039732660
371	Beta-2 microglobulin	16174	2022-03-11T22:48:16Z	1039964768
372	BAAT	5577	2022-03-11T23:05:06Z	1039887988
373	BACH1	8901	2022-03-11T23:04:57Z	1075838875
374	Bcl-2-associated death promoter	17147	2022-03-22T09:15:41Z	1044760014
375	BAG1	13703	2022-03-13T16:08:03Z	1076913129
376	Brain-specific angiogenesis inhibitor 1	14275	2022-03-11T23:04:28Z	1032252781
377	Brain-specific angiogenesis inhibitor 2	4189	2022-03-14T04:53:16Z	1077019761
378	Brain-specific angiogenesis inhibitor 3	3770	2022-03-11T23:04:28Z	1075865840
379	Bcl-2 homologous antagonist killer	21504	2022-03-11T22:56:47Z	1075865412
380	NKX3-2	5392	2022-03-11T23:09:15Z	1032189170
381	BARD1	28526	2022-03-11T23:04:09Z	1039889379
382	Bcl-2-associated X protein	17713	2022-03-11T22:53:20Z	1039936140
383	BBS1	6235	2022-03-11T23:05:05Z	1056740143
384	BBS2	7557	2022-03-11T23:05:06Z	1039890265
385	BBS4	5904	2022-03-11T23:05:06Z	1057467362
386	Branched chain amino acid transaminase 1	7808	2022-03-11T23:47:09Z	1040044424
387	Butyrylcholinesterase	17759	2022-03-11T22:59:45Z	1040070339
388	BCKDHA	15820	2022-03-20T21:50:17Z	1054630841
389	BCKDHB	7876	2022-03-20T21:50:16Z	1075865368
390	Cyclin D1	49886	2022-03-11T23:01:08Z	1050289051
391	Bcl-2	39957	2022-03-11T22:38:10Z	1039935738
392	BCL2-related protein A1	10982	2022-03-11T23:04:56Z	1040190065
393	BCL2-like 1	18746	2022-03-11T23:04:05Z	1039892352
394	BCL2L2	12796	2022-03-11T23:04:59Z	1067832780
395	BCL3	14552	2022-03-11T23:04:12Z	1064901667
396	BCL6	22245	2022-03-11T23:04:04Z	1076395115
397	BCL7A	4206	2022-03-11T23:49:15Z	995456492
398	BCL9	10673	2022-03-14T04:51:49Z	1077019493
399	B-cell maturation antigen	14382	2022-03-19T20:55:01Z	1072563423
400	HCN2	9516	2022-03-11T23:04:58Z	1039574840
401	OPN1SW	4463	2022-03-11T23:04:28Z	991926885
402	BCR (gene)	13115	2022-03-13T19:37:25Z	1069855396
403	BCS1L	16927	2022-03-13T19:43:40Z	1062306385
404	BDH1	5288	2022-03-11T23:05:33Z	1039893390
405	Bradykinin receptor B1	8917	2022-03-11T23:04:13Z	1040041776
406	Bradykinin receptor B2	9331	2022-03-11T23:04:09Z	1027570155
407	Brain-derived neurotrophic factor	67675	2022-03-11T22:38:07Z	1050897562
408	Complement factor B	9295	2022-03-11T22:53:17Z	1040640781
409	BFSP1	6313	2022-03-11T23:05:06Z	1039893916
410	Osteocalcin	16769	2022-03-11T22:51:29Z	1075991549
411	Biglycan	8364	2022-03-11T22:53:30Z	1025884655
412	CEACAM1	12018	2022-03-19T20:55:01Z	1053697091
413	BICD1	6385	2022-03-14T15:28:44Z	1077106977
414	BH3 interacting-domain death agonist	10870	2022-03-13T19:35:29Z	1032024404
415	Bcl-2-interacting killer	10512	2022-03-11T23:04:56Z	1039936215
416	PRDM1	22835	2022-03-18T02:24:44Z	1077762872
